Date,Type of activity,Details,Concession,Debit/Credit amount,Account balance
21/08/2024 14:58,Trip, 11428259  008,Roam Tolling Pty Ltd (107),-9.86,-18.48
21/08/2024 14:51,Trip, 11428259  HV,Transurban Interlink Roads Pty Ltd (105),-5.69,1.01
21/08/2024 12:29,Trip, 11428259  05A,SHB and SHT (100),-3.2,-20.79
21/08/2024 07:54,Trip, 11428259  LCE,LCT - MRE Pty Limited (109),-4.04,-14.44
21/08/2024 07:45,Trip, 11428259  1A,The Hills Motorway Limited (112),-9.76,-4.68
21/08/2024 07:22,Trip, 11428259  068,Roam Tolling Pty Ltd (107),-5.89,-28.34
20/08/2024 18:42,Trip, 11428259  078,Roam Tolling Pty Ltd (107),-5.89,-58.02
20/08/2024 18:33,Trip, 11428259  1B,The Hills Motorway Limited (112),-9.76,-38.5
20/08/2024 18:30,Trip, 11428259  LCW,LCT - MRE Pty Limited (109),-4.04,-73.08
20/08/2024 11:21,Trip, 11428259  003,Transurban CCT Pty Ltd (108),-3.28,-69.8
20/08/2024 09:18,Trip, 11428259  06A,SHB and SHT (100),-4.27,-34.23
20/08/2024 09:04,Trip, 11428259  LCE,LCT - MRE Pty Limited (109),-4.04,-77.12
20/08/2024 09:00,Trip, 11428259  1A,The Hills Motorway Limited (112),-9.76,-48.26
20/08/2024 08:39,Trip, 11428259  068,Roam Tolling Pty Ltd (107),-5.89,-63.91
18/08/2024 15:19,Trip, 11428259  008,Roam Tolling Pty Ltd (107),-9.86,2.46
18/08/2024 15:12,Trip, 11428259  HV,Transurban Interlink Roads Pty Ltd (105),-5.69,-16.85
18/08/2024 11:42,Trip, 11428259  HV,Transurban Interlink Roads Pty Ltd (105),-5.69,-11.16
18/08/2024 11:19,Trip, 11428259  127,Roam Tolling Pty Ltd (107),-9.86,-7.4
13/08/2024 18:09,Trip, 11428259  078,Roam Tolling Pty Ltd (107),-5.89,-20.44
13/08/2024 18:00,Trip, 11428259  1B,The Hills Motorway Limited (112),-9.76,-6.64
13/08/2024 17:57,Trip, 11428259  LCW,LCT - MRE Pty Limited (109),-4.04,-16.4
13/08/2024 12:18,Trip, 11428259  149,WestConnex (140),-8.14,1.5
13/08/2024 10:17,Trip, 11428259  104,WestConnex (140),-6.24,7.74
13/08/2024 10:03,Trip, 11428259  113,Roam Tolling Pty Ltd (107),-3.8,-26.33
11/08/2024 15:12,Trip, 11428259  078,Roam Tolling Pty Ltd (107),-5.89,-68.72
11/08/2024 15:02,Trip, 11428259  1B,The Hills Motorway Limited (112),-9.76,-34.17
11/08/2024 14:59,Trip, 11428259  LCW,LCT - MRE Pty Limited (109),-4.04,-60.64
11/08/2024 14:47,Trip, 11428259  002,Transurban CCT Pty Ltd (108),-6.95,-53.69
11/08/2024 08:14,Trip, 11428259  06A,SHB and SHT (100),-3.2,-30.97
